IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
35.197.23.75,443,True,SEA,North America,Seattle,198 ms,8805 kB/s
35.230.79.26,443,True,SEA,North America,Seattle,192 ms,6836 kB/s
35.246.222.80,443,True,FRA,Europe,Frankfurt,250 ms,6789 kB/s
34.65.219.21,443,True,FRA,Europe,Frankfurt,241 ms,6735 kB/s
34.118.62.157,443,True,FRA,Europe,Frankfurt,251 ms,6525 kB/s
35.246.255.2,443,True,FRA,Europe,Frankfurt,248 ms,6514 kB/s
34.159.54.249,443,True,FRA,Europe,Frankfurt,236 ms,6501 kB/s
34.105.49.234,443,True,SEA,North America,Seattle,203 ms,6387 kB/s
34.118.17.210,443,True,FRA,Europe,Frankfurt,263 ms,6297 kB/s
34.159.100.136,443,True,FRA,Europe,Frankfurt,261 ms,6243 kB/s
34.116.222.152,443,True,FRA,Europe,Frankfurt,276 ms,6157 kB/s
34.65.1.60,443,True,FRA,Europe,Frankfurt,227 ms,6042 kB/s
34.154.23.15,443,True,FRA,Europe,Frankfurt,243 ms,6024 kB/s
34.159.31.106,443,True,FRA,Europe,Frankfurt,237 ms,5946 kB/s
34.118.46.204,443,True,FRA,Europe,Frankfurt,262 ms,5909 kB/s
34.154.42.103,443,True,FRA,Europe,Frankfurt,245 ms,5871 kB/s
34.118.127.239,443,True,FRA,Europe,Frankfurt,266 ms,5785 kB/s
35.242.221.191,443,True,FRA,Europe,Frankfurt,250 ms,5771 kB/s
34.159.134.234,443,True,FRA,Europe,Frankfurt,230 ms,5768 kB/s
34.82.76.253,443,True,SEA,North America,Seattle,197 ms,5654 kB/s
34.154.64.223,443,True,FRA,Europe,Frankfurt,250 ms,5639 kB/s
34.118.29.160,443,True,FRA,Europe,Frankfurt,255 ms,5607 kB/s
34.116.204.164,443,True,FRA,Europe,Frankfurt,264 ms,5565 kB/s
34.65.69.117,443,True,FRA,Europe,Frankfurt,254 ms,5554 kB/s
34.118.45.21,443,True,FRA,Europe,Frankfurt,269 ms,5550 kB/s
35.198.133.80,443,True,FRA,Europe,Frankfurt,252 ms,5504 kB/s
34.116.199.155,443,True,FRA,Europe,Frankfurt,279 ms,5467 kB/s
34.141.148.252,443,True,FRA,Europe,Frankfurt,258 ms,5414 kB/s
34.107.103.93,443,True,FRA,Europe,Frankfurt,250 ms,5347 kB/s
